id_client;sexe;tranche_age;enfant_conduit_accompagne;Enfants ;revenus;tranche_tarifs;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule
1;F;[20-40];non;non;[8000,10K];[200,400];Commercial;Minivan;no;2;1.0;Highly Urban/ Urban;31/05/2022 16:23;complet;dev_integral
2;M;[20-40];non;non;[40K,80K];[200,400];Private;z_SUV;no;4;13.0;Highly Urban/ Urban;31/05/2022 15:49;complet;dev_express
3;F;[80-100];non;oui;[40K,80K];[200,400];Private;Sports Car;no;0;17.0;Highly Urban/ Urban;31/05/2022 15:46;complet;dev_integral
4;F;[60-80];non;non;[10K,40K];[400,600];Private;Pickup;no;0;10.0;z_Highly Rural/ Rural;31/05/2022 13:57;complet;dev_premium
5;F;[0-20];oui;oui;0;[200,400];Private;Sports Car;no;0;10.0;Highly Urban/ Urban;31/05/2022 13:11;complet;dev_express
6;F;[0-20];non;non;0;[200,400];Private;Pickup;yes;0;17.0;z_Highly Rural/ Rural;31/05/2022 11:14;complet;dev_express
7;M;[20-40];non;non;[40K,80K];[200,400];Private;Minivan;no;2;14.0;Highly Urban/ Urban;31/05/2022 09:26;complet;dev_integral
8;F;[20-40];non;oui;[10K,40K];[200,400];Commercial;Minivan;yes;6;;Highly Urban/ Urban;31/05/2022 07:38;complet;dev_integral
9;M;[60-80];non;oui;0;[400,600];Private;Sports Car;no;0;13.0;Highly Urban/ Urban;31/05/2022 06:29;complet;dev_premium
10;F;[40-60];non;non;[10K,40K];[200,400];Private;Minivan;yes;0;1.0;Highly Urban/ Urban;31/05/2022 05:19;complet;dev_premium
11;M;[40-60];non;oui;[40K,80K];[200,400];Commercial;z_SUV;no;4;1.0;Highly Urban/ Urban;31/05/2022 03:31;complet;dev_express
12;F;[40-60];non;oui;[10K,40K];[200,400];Private;z_SUV;no;7;6.0;Highly Urban/ Urban;30/05/2022 20:12;complet;dev_express
13;M;[60-80];non;non;[1000,4000];[200,400];Private;Sports Car;no;1;1.0;Highly Urban/ Urban;30/05/2022 19:44;complet;dev_integral
14;F;[40-60];non;oui;0;[200,400];Private;z_SUV;no;4;6.0;Highly Urban/ Urban;30/05/2022 19:20;complet;dev_express
15;F;[40-60];non;non;[80K,100K];[200,400];Private;z_SUV;yes;0;17.0;Highly Urban/ Urban;30/05/2022 14:54;complet;dev_integral
16;M;[40-60];non;non;[40K,80K];[200,400];Commercial;Van;yes;5;;Highly Urban/ Urban;30/05/2022 12:05;complet;dev_express
17;F;[60-80];non;non;[10K,40K];[200,400];Commercial;z_SUV;no;2;11.0;Highly Urban/ Urban;30/05/2022 08:43;complet;dev_integral
18;M;[60-80];non;non;[10K,40K];[200,400];Private;Minivan;no;0;20.0;Highly Urban/ Urban;30/05/2022 04:03;complet;dev_integral
19;M;[40-60];non;non;[10K,40K];[200,400];Commercial;z_SUV;no;0;1.0;z_Highly Rural/ Rural;29/05/2022 19:59;complet;dev_premium
